,T_in,P_in,M_in,P_out,Power_Output,T_out
0,93.0842066576592,29387674.609636165,119.19325704852497,18387038.2,1.71757449,72.6172146
1,94.36603267902274,29792462.60532216,119.01337627006164,9863190.23,3.33000138,44.9197096
2,67.60108597701493,26083955.893433183,156.11614508420197,7876972.83,3.43844506,32.77674
3,61.12958517964266,19146701.319412015,56.73565051941265,14221489.1,0.347323791,51.7710175
4,130.8998873474035,29965740.704604425,62.70445723825903,20599512.6,0.976248885,106.40093
5,514.4944591397661,10680606.774692424,145.91383223119465,9205649.44,2.73697446,497.606035
6,204.7048725759104,14491921.53792401,66.42132046447448,11544820.9,1.00523878,183.909666
7,448.79093938821654,21130020.933886055,116.18488561789346,15561161.0,4.05304597,414.873322
8,282.17767245504854,29065912.909774628,81.46005919667896,26097998.5,0.735353766,271.383966
9,379.5277000891138,23902874.609299053,111.44134870503191,11354951.7,7.95961152,303.081272
10,215.99978401482602,19219768.687682934,151.44895405892925,18351329.5,0.485389173,211.615568
11,467.4545963315766,22404339.12644729,138.7532989988294,18369935.7,3.28289371,444.890815
12,510.5958535542442,13526936.86286493,159.247406834731,12237279.4,2.02067892,499.074653
13,348.76294341647736,27659912.866465446,159.71299345531912,9581505.27,14.6672063,243.98335
14,181.60435863328638,21757723.64415099,115.81341474351046,20934363.8,0.268424979,178.126873
15,258.4416850803423,23200865.320719413,84.86372197023437,13940236.1,3.18732267,209.62271
16,44.27032197631729,29422520.571580768,126.65422300597426,14528156.8,1.85090201,31.3784496
17,401.635395223763,19700850.967333127,116.0070066294052,13366738.3,4.6840912,360.481325
18,324.6510717266751,28933560.20336372,143.4912257527085,14363018.6,8.59820739,254.442422
19,398.1527650860167,25985386.75398405,53.15485699746565,24627094.8,0.310081246,392.232256
20,331.5276733027005,22268581.920219667,127.4113797259341,19074905.6,1.84051213,315.476834
21,381.3346185970545,20065392.092578635,92.7786127774065,11336003.0,5.20273791,322.44996
22,421.9794882514586,29892230.507682662,113.90445047793057,29881170.7,0.00485789161,421.937659
23,449.20997535134154,28074691.06393394,56.39237160538616,8124053.17,7.23140011,319.66876
24,505.40945183690576,15968835.35422224,136.7312512179313,8195496.82,10.8600642,431.748328
25,344.56191061905963,26038475.60623169,123.41688259462768,15231850.2,6.05410048,289.616417
